unit,vehicle,mot_nrg,geo\time,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1987 
NR,BUS_TOT,TOTAL,CY,0 ,0 ,0 ,0 ,1 ,0 ,: z,: z,: z,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: 
NR,BUS_TOT,TOTAL,DE,112 ,154 ,96 ,91 ,161 ,149 ,210 ,: ,155 ,129 ,235 ,183 ,204 ,73 ,119 r,91 ,85 ,118 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,EE,1 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,ES,186 ,280 ,167 ,74 ,58 ,232 ,27 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,FI,6 ,0 ,0 ,12 ,4 ,13 ,9 ,3 ,1 ,2 ,32 ,: ,3 ,12 ,13 ,2 ,2 ,0 ,: ,: ,: ,1 ,: ,: ,: 
NR,BUS_TOT,TOTAL,FR,114 ,: ,: ,150 ,114 ,208 ,306 ,155 ,167 ,413 ,270 ,295 ,295 ,244 ,109 ,3 ,3 ,1 ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,HR,: z,1 ,: z,61 ,: z,: z,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: z,: z,: z,: z,: z,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,HU,2 ,1 ,7 ,: ,8 ,8 ,5 ,4 ,14 ,: ,8 ,: ,: ,26 ,1 ,2 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,IE,1 ,0 ,: ,: ,: ,0 ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,IS,: ,: ,: ,: ,: ,: ,: ,2 e,0 e,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,IT,156 ,222 ,307 ,350 ,406 ,507 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,LI,: ,: ,0 ,3 ,1 ,3 ,6 ,: ,0 ,0 ,: ,19 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,LT,: ,29 ,14 ,48 ,5 ,28 ,37 ,37 ,15 ,: ,2 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,LU,: ,: ,: ,: ,6 ,0 ,4 ,8 ,0 ,11 ,6 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,LV,0 ,0 ,76 ,76 ,62 ,29 ,3 ,30 ,0 ,0 ,0 ,13 ,12 ,4 ,35 ,1 ,1 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,MT,0 ,23 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,NO,97 ,256 ,79 ,3 ,57 ,0 ,31 ,16 ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,PL,57 ,42 ,43 ,20 ,18 ,62 ,50 ,27 ,134 ,183 ,: ,301 ,107 ,113 ,67 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,RO,: ,12 ,14 ,4 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,SE,: ,600 ,: ,262 ,145 ,128 ,286 ,113 ,124 ,48 ,36 ,63 ,69 ,114 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,SI,: z,20 ,: z,: z,: z,: z,: z,: z,: ,: ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,TR,166 ,2 ,181 ,520 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,BUS_TOT,TOTAL,UK,: ,: ,: ,: ,: ,: ,: ,12 ,19 ,: ,0 ,: ,: ,37 ,16 ,24 ,7 ,5 ,: ,: ,: ,: ,: ,: ,: 
NR,CAR,ELC,AT,427 ,631 ,112 ,39 ,2 ,0 ,0 ,: ,1 ,: ,1 ,5 ,3 ,3 ,12 ,18 ,20 ,13 ,: ,: ,: ,: ,: ,: ,: 
NR,CAR,ELC,BE,: ,264 ,47 ,0 ,0 ,0 ,0 ,0 ,265 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,CAR,ELC,CH,900 n,500 r,200 ,0 e,0 ,0 ,0 ,13 ,20 ,18 ,75 ,16 ,64 ,71 ,57 ,61 ,90 ,61 ,: ,84 ,124 ,259 ,214 ,101 ,: 
NR,CAR,ELC,CY,177 ,267 ,195 ,206 ,379 ,2 ,: z,: z,: z,: ,: ,: ,: ,: ,: ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: 
NR,CAR,ELC,DE,2956 ,2154 ,541 ,162 ,36 ,8 ,19 ,47 ,61 ,28 ,19 ,47 ,109 ,121 ,210 ,263 ,272 ,208 ,213 ,339 ,460 ,: ,: ,: ,: 
NR,CAR,ELC,EE,512 ,56 ,1 ,0 ,1 ,0 ,0 ,: ,0 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
NR,CAR,ELC,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,0 ,0 ,2 ,15 ,15 ,1 ,5 ,: ,: ,: ,: ,: ,: ,: ,: ,: 
